gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
595325.000,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.100,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.200,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.300,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.400,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.500,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.600,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.700,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.800,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595325.900,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.000,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.100,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.200,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.300,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.400,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.500,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.600,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.700,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.800,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595326.900,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595327.000,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595327.100,33.709980,73.090899,556.90,0.000,0.000,2.80,8
595327.200,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.300,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.400,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.500,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.600,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.700,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.800,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595327.900,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.000,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.100,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.200,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.300,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.400,33.709980,73.090900,556.90,0.000,0.000,2.80,8
595328.500,33.709979,73.090900,556.90,0.000,0.000,2.80,8
595328.600,33.709979,73.090900,556.90,0.000,0.000,2.80,8
595328.700,33.709979,73.090900,556.90,0.000,0.000,2.80,8
595328.800,33.709979,73.090900,556.90,0.000,0.000,2.80,8
595328.900,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.000,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.100,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.200,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.300,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.400,33.709979,73.090900,556.80,0.000,0.000,2.80,8
595329.500,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595329.600,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595329.700,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595329.800,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595329.900,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.000,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.100,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.200,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.300,33.709979,73.090901,556.80,0.000,0.000,2.80,8
