GPStime,lat_deg,lon_deg,h_m,vn_mps,ve_mps
43421.2,33.713934,73.0883367,554.1,0,0
43421.3,33.713934,73.0883365,554.1,0,0
43421.4,33.713934,73.0883365,554.1,0,0
43421.5,33.713934,73.0883365,554.1,0,0
43421.6,33.7139342,73.0883365,554.1,0,0
43421.8,33.7139342,73.0883365,554.1,0,0
43421.9,33.7139342,73.0883365,554.1,0,0
43422,33.7139342,73.0883365,554.1,0,0
43422.1,33.7139342,73.0883365,554.1,0,0
43422.2,33.7139342,73.0883365,554.1,0,0
43422.3,33.7139342,73.0883363,554.1,0,0
43422.4,33.7139343,73.0883363,554.1,0,0
43422.6,33.7139343,73.0883363,554.1,0,0
43422.7,33.7139343,73.0883363,554.1,0,0
43422.8,33.7139343,73.0883363,554.1,0,0
43422.9,33.7139343,73.0883363,554.1,0,0
43423,33.7139343,73.0883363,554.1,0,0
43423.1,33.7139345,73.0883363,554.1,0,0
43423.2,33.7139345,73.0883363,554.1,0,0
43423.3,33.7139345,73.0883363,554.1,0,0
43423.4,33.7139345,73.0883363,554.1,0,0
43423.5,33.7139345,73.0883363,554.1,0,0
43423.6,33.7139345,73.0883363,554.1,0,0
43423.8,33.7139345,73.0883363,554.1,0,0
43423.9,33.7139345,73.0883362,554.1,0,0
43424,33.7139345,73.0883362,554.1,0,0
43424.1,33.7139345,73.0883362,554.1,0,0
43424.2,33.7139347,73.0883362,554.1,0,0
43424.3,33.7139347,73.0883362,554.1,0,0
43424.4,33.7139347,73.0883362,554.1,0,0
43424.5,33.7139347,73.0883362,554.1,0,0
43424.7,33.7139347,73.0883362,554.1,0,0
43424.8,33.7139347,73.0883362,554.1,0,0
43424.9,33.7139347,73.0883362,554.1,0,0
43425,33.7139347,73.0883362,554.1,0,0
43425.1,33.7139347,73.0883362,554,0,0
43425.2,33.7139348,73.0883362,554,0,0
43425.4,33.7139348,73.0883362,554,0,0
43425.5,33.7139348,73.0883362,554,0,0
43425.6,33.7139348,73.0883362,554,0,0
43425.7,33.7139348,73.0883362,554,0,0
43425.8,33.7139348,73.0883363,554,0,0
43425.9,33.7139348,73.0883363,554,0,0
43426,33.7139348,73.0883363,554,0,0
43426.2,33.7139348,73.0883363,554,0,0
43426.3,33.7139348,73.0883363,554,0,0
43426.4,33.7139348,73.0883363,554,0,0
43426.5,33.7139348,73.0883363,554,0,0
43426.6,33.7139348,73.0883363,554,0,0
43426.7,33.7139348,73.0883365,554,0,0
43426.8,33.7139348,73.0883365,554,0,0
43426.9,33.7139348,73.0883365,554,0,0
43427,33.7139348,73.0883365,554,0,0
43427.1,33.713935,73.0883365,554,0,0
43427.3,33.713935,73.0883365,554,0,0
43427.4,33.713935,73.0883365,554,0,0
43427.5,33.713935,73.0883367,554,0,0
43427.6,33.713935,73.0883367,554,0,0
43427.8,33.713935,73.0883367,554,0,0
43427.9,33.713935,73.0883367,554,0,0
43428,33.713935,73.0883367,554,0,0
43428.1,33.713935,73.0883367,554,0,0
43428.2,33.713935,73.0883367,554,0,0
43428.4,33.713935,73.0883367,554,0,0
43428.5,33.713935,73.0883367,554,0,0
43428.6,33.713935,73.0883368,554,0,0
43428.7,33.713935,73.0883368,554,0,0
43428.8,33.713935,73.0883368,554.1,0,0
