gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43406.200,33.7139245,73.0883425,554.80,0.000,0.000,0.80,17
43406.300,33.7139245,73.0883425,554.80,0.000,0.000,0.80,17
43406.400,33.7139247,73.0883423,554.80,0.000,0.000,0.80,17
43406.500,33.7139247,73.0883423,554.80,0.000,0.000,0.80,17
43406.600,33.7139247,73.0883423,554.80,0.000,0.000,0.80,17
43406.700,33.7139247,73.0883423,554.80,0.000,0.000,0.80,17
43406.900,33.7139248,73.0883423,554.70,0.000,0.000,0.80,17
43407.000,33.7139248,73.0883423,554.70,0.000,0.000,0.80,17
43407.100,33.7139248,73.0883423,554.70,0.000,0.000,0.80,17
43407.200,33.7139248,73.0883422,554.70,0.000,0.000,0.80,17
43407.300,33.7139250,73.0883422,554.70,0.000,0.000,0.80,17
43407.400,33.7139250,73.0883422,554.70,0.000,0.000,0.80,17
43407.500,33.7139250,73.0883422,554.70,0.000,0.000,0.80,17
43407.600,33.7139250,73.0883420,554.70,0.000,0.000,0.80,17
43407.700,33.7139252,73.0883420,554.70,0.000,0.000,0.80,17
43407.800,33.7139252,73.0883420,554.70,0.000,0.000,0.80,17
43407.900,33.7139252,73.0883420,554.70,0.000,0.000,0.80,17
43408.000,33.7139253,73.0883418,554.70,0.000,0.000,0.80,17
43408.100,33.7139253,73.0883418,554.70,0.000,0.000,0.80,17
43408.200,33.7139253,73.0883418,554.70,0.000,0.000,0.80,17
43408.300,33.7139255,73.0883417,554.70,0.000,0.000,0.80,17
43408.400,33.7139255,73.0883417,554.70,0.000,0.000,0.80,17
43408.500,33.7139255,73.0883417,554.70,0.000,0.000,0.80,17
43408.600,33.7139257,73.0883417,554.70,0.000,0.000,0.80,17
43408.700,33.7139257,73.0883415,554.70,0.000,0.000,0.80,17
43408.800,33.7139258,73.0883415,554.70,0.000,0.000,0.80,17
43408.900,33.7139258,73.0883415,554.70,0.000,0.000,0.80,17
43409.000,33.7139258,73.0883413,554.70,0.000,0.000,0.80,17
43409.100,33.7139260,73.0883413,554.70,0.000,0.000,0.80,17
43409.200,33.7139260,73.0883413,554.70,0.000,0.000,0.80,17
43409.300,33.7139262,73.0883412,554.60,0.000,0.000,0.80,17
43409.400,33.7139262,73.0883412,554.60,0.000,0.000,0.80,17
43409.500,33.7139263,73.0883412,554.60,0.000,0.000,0.80,17
43409.600,33.7139263,73.0883410,554.60,0.000,0.000,0.80,17
43409.800,33.7139265,73.0883410,554.60,0.000,0.000,0.80,17
43409.900,33.7139265,73.0883410,554.60,0.000,0.000,0.80,17
43410.000,33.7139267,73.0883410,554.60,0.000,0.000,0.80,17
43410.100,33.7139267,73.0883408,554.60,0.000,0.000,0.80,17
43410.200,33.7139268,73.0883408,554.60,0.000,0.000,0.80,17
43410.300,33.7139268,73.0883407,554.60,0.000,0.000,0.80,17
43410.400,33.7139270,73.0883407,554.60,0.000,0.000,0.80,17
43410.500,33.7139270,73.0883407,554.60,0.000,0.000,0.80,17
43410.600,33.7139272,73.0883405,554.60,0.000,0.000,0.80,17
43410.700,33.7139272,73.0883405,554.60,0.000,0.000,0.80,17
43410.800,33.7139273,73.0883403,554.60,0.000,0.000,0.80,17
43410.900,33.7139273,73.0883403,554.60,0.000,0.000,0.80,17
43411.000,33.7139275,73.0883402,554.60,0.000,0.000,0.80,17
43411.100,33.7139275,73.0883402,554.60,0.000,0.000,0.80,17
43411.200,33.7139275,73.0883402,554.60,0.000,0.000,0.80,17
43411.300,33.7139277,73.0883400,554.60,0.000,0.000,0.80,17
43411.400,33.7139277,73.0883400,554.60,0.000,0.000,0.80,17
43411.500,33.7139278,73.0883398,554.60,0.000,0.000,0.80,17
43411.600,33.7139278,73.0883398,554.60,0.000,0.000,0.80,17
43411.700,33.7139280,73.0883397,554.60,0.000,0.000,0.80,17
